,surface,round,tournament_type,rank_diff,wins2meses_p1,wins2meses_p2,ratio_superficie_p1,ratio_superficie_p2,h2h,ratio_ronda_p1,ratio_ronda_p2,experiencia_p1,experiencia_p2,is_new_p1,is_new_p2,elo_p1,elo_p2,elo_diff,elo_global_p1,elo_global_p2,elo_global_diff
22583,Grass,2nd Round,WTA500,55.0,0.6363636363636364,0.6,0.4857142857142857,0.5555555555555556,0.5,0.5096153846153846,0.6388888888888888,354,140,0,0,1521.4212385068972,1609.8271939684428,-88.40595546154555,1666.977871359382,1874.299249331195,-207.32137797181304
22584,Grass,2nd Round,WTA500,-52.0,0.6666666666666666,0.2857142857142857,0.6727272727272727,0.5,1.0,0.7717391304347826,0.5555555555555556,667,60,0,0,1611.7545950973222,1505.0826382193193,106.6719568780029,1859.910537388344,1641.4146732009951,218.49586418734884
22585,Grass,2nd Round,WTA500,-19.0,0.6666666666666666,0.4545454545454545,0.6986301369863014,0.4583333333333333,1.0,0.7944444444444444,0.5,658,166,0,0,1698.0701901401471,1484.86499441766,213.20519572248716,1784.5361505514295,1657.818223046189,126.71792750524082
22586,Grass,3rd Round,WTA500,-35.0,0.6923076923076923,0.5555555555555556,0.6333333333333333,0.5806451612903226,0.0,0.5833333333333334,0.4444444444444444,281,391,0,0,1631.8946692455938,1571.5088539594487,60.38581528614509,1886.490039826348,1725.6118984052305,160.8781414211171
22587,Grass,3rd Round,WTA500,10.0,0.4285714285714285,0.7,0.6086956521739131,0.6785714285714286,0.25,0.2777777777777778,0.686046511627907,409,668,0,0,1675.1656507751802,1622.990920736547,52.17473003863324,1699.4991308174622,1866.9940307663437,-167.4948999488813
22588,Grass,3rd Round,WTA500,-90.0,0.85,0.6666666666666666,0.6896551724137931,0.5625,1.0,0.7674418604651163,0.5555555555555556,367,327,0,0,1645.7885682321678,1586.223824378193,59.56474385397473,1961.6339393438004,1596.3818614243016,365.2520779194988
22589,Grass,3rd Round,WTA500,5.0,0.6842105263157895,0.75,0.5945945945945946,0.6097560975609756,1.0,0.375,0.64,256,514,0,0,1613.4459123336549,1597.5314718831007,15.91444045055414,1827.4661244268584,1847.675958657661,-20.209834230803157
22590,Grass,3rd Round,WTA500,-59.0,0.6,0.5,0.703125,0.5,1.0,0.5932203389830508,0.3333333333333333,492,105,0,0,1759.059918447554,1498.7960416890176,260.2638767585365,1831.7886141174536,1628.7044429125754,203.0841712048782
22591,Grass,3rd Round,WTA500,7.0,0.8571428571428571,0.6363636363636364,0.5454545454545454,0.5675675675675675,0.5,0.5,0.7647058823529411,88,141,0,0,1533.6616598503108,1621.8415976896397,-88.17993783932866,1806.5675213138145,1881.7438782716788,-75.17635695786453
22592,Grass,3rd Round,WTA500,-6.0,0.6153846153846154,0.4545454545454545,0.6666666666666666,0.4583333333333333,0.0,0.4285714285714285,0.375,130,166,0,0,1598.718917685715,1509.6120991404669,89.10681854524819,1758.170321347225,1679.4081083193005,78.76221302792442
22593,Grass,3rd Round,WTA500,-90.0,0.6923076923076923,0.5,0.4864864864864865,0.4545454545454545,0.5,0.3809523809523809,0.2,443,191,0,0,1543.0361067209146,1500.9139976511544,42.1221090697602,1798.459224018349,1601.2338462842567,197.22537773409223
22594,Grass,Quarterfinals,WTA500,4.0,0.7,0.85,0.6785714285714286,0.6896551724137931,0.5,0.6770833333333334,0.7,668,367,0,0,1641.375755690225,1659.072072863123,-17.69631717289758,1875.827388849119,1965.11708347521,-89.28969462609098
